Date,Forecast_Quantity,Lower_Bound,Upper_Bound
2026-01-01,372.89618315620726,248.1188642964566,497.6735020159579
2026-01-02,367.0614093775527,242.1352546868232,491.9875640682822
2026-01-03,369.1429149400555,244.18774061508952,494.0980892650215
2026-01-04,383.63499856618785,258.673978944893,508.5960181874827
2026-01-05,368.6278454253228,243.6656482820855,493.5900425685601
2026-01-06,367.7667136175479,242.80427925976824,492.7291479753276
2026-01-07,346.7250960500278,221.76261390462832,471.68757819542725
2026-01-08,372.274602830672,246.35744994569617,498.1917557156478
2026-01-09,367.0601558847912,241.14087811278077,492.9794336568016
2026-01-10,369.20785335018076,243.28811192651204,495.12759477384947
2026-01-11,383.73399109614206,257.8141562626471,509.65382592963704
2026-01-12,368.7352288722242,242.8153752212114,494.65508252323696
2026-01-13,367.87974582507843,241.9598883832076,493.79960326694925
2026-01-14,346.8340443494522,220.91418614393308,472.7539025549713
2026-01-15,372.39293245037635,245.53022095985756,499.25564394089514
2026-01-16,367.17735015901764,240.31241591441895,494.04228440361635
2026-01-17,369.3259763358123,242.4606046283954,496.1913480432292
2026-01-18,383.8568771447317,256.9914173033367,510.7223369861267
2026-01-19,368.8533567569616,241.98787916088435,495.71883435303886
2026-01-20,367.9976212970753,241.1321401242519,494.86310246989865
2026-01-21,346.94518513489606,220.07970324155778,473.8106670282343
2026-01-22,372.5122683859569,244.7103306028896,500.31420616902415
2026-01-23,367.29501664041175,239.49087060908278,495.0991626717407
2026-01-24,369.4443322624892,241.63975178764022,497.2489127373382
2026-01-25,383.97989013601244,256.1752221354683,511.7845581365566
2026-01-26,368.97156179860957,241.16687616592233,496.77624743129684
2026-01-27,368.11555218385723,240.31086299910982,495.92024136860465
2026-01-28,347.0563694545473,219.2516795542578,474.86105935483675
2026-01-29,372.63164611828574,243.89673855588796,501.3665536806835
2026-01-30,367.41272242495165,238.67562121086542,496.1498236390379
