Date,Forecast_Quantity,Lower_Bound,Upper_Bound
2026-09-04,371.08037152994507,215.93715725052056,526.2235858093695
2026-09-05,373.25183807498365,218.1082584941923,528.395417655775
2026-09-06,387.93719990228635,232.79354672556212,543.0808530790106
2026-09-07,372.7741952248067,217.63052722210276,527.9178632275107
2026-09-08,371.9093635462365,216.76569255678424,527.0530345356888
2026-09-09,350.63314416579135,195.4894725746759,505.7768157569068
2026-09-10,376.4720004980753,220.54528482125045,532.3987161749002
2026-09-11,371.19929040022447,215.27072609131946,527.1278547091295
2026-09-12,373.3714528277947,217.44252482440433,529.3003808311851
2026-09-13,388.0615208232813,232.13251954768964,543.9905220988729
2026-09-14,372.89365690903077,216.96464087267543,528.8226729453861
2026-09-15,372.0285480807806,216.09952907081495,527.9575670907462
2026-09-16,350.74551038234654,194.81649077336425,506.6745299913288
2026-09-17,376.59264720543547,219.8840095114327,533.3012848994382
2026-09-18,371.3182473800316,214.60776909875645,528.0287256613068
2026-09-19,373.49110591314064,216.78026552006818,530.2019463062131
2026-09-20,388.18588158498085,231.47496823856454,544.8967949313972
2026-09-21,373.0131568767363,216.30222883379042,529.7240849196821
2026-09-22,372.14777080998897,215.436839806373,528.858701813605
2026-09-23,350.8579126085227,194.14698100849682,507.5688442085486
2026-09-24,376.71333257603743,219.22615754442876,534.2005076076462
2026-09-25,371.43724248157923,213.94823478748623,528.9262501756723
2026-09-26,373.61079734330565,216.12142909649177,531.1001655901196
2026-09-27,388.31028220015264,230.82084131409545,545.7997230862098
2026-09-28,373.1326951401918,215.64323962088088,530.6221506595027
2026-09-29,372.2670317461017,214.77757327886783,529.7564902133355
2026-09-30,350.9703508558597,193.4808917947837,508.4598099169357
2026-10-01,376.8340566222714,218.57167866467177,535.0964345798711
2026-10-02,371.5562757170842,213.29207290462736,529.820478529541
2026-10-03,373.730527130578,215.4659653014275,531.9950889597285
