rank,model_order,seasonal_order,training_aic,evaluation_aic,MAE,RMSE,MAPE,SMAPE
54,"(0, 0, 2)","(1, 1, 0, 7)",3630.7635505686017,3630.7635505686017,72.37210980026039,82.73124786237355,19.348549185410572,19.707078739295643
55,"(1, 0, 0)","(1, 1, 0, 7)",3618.386959978863,3618.386959978863,72.44123193288102,82.81627869001086,19.374165096941486,19.723526379239566
56,"(0, 0, 1)","(1, 1, 0, 7)",3628.806322382812,3628.806322382812,72.46211176137622,82.83644013311874,19.380722085852675,19.72955858484072
57,"(0, 0, 0)","(1, 1, 0, 7)",3627.217057445904,3627.217057445904,72.93420837781147,83.20485748347384,19.510212949278223,19.88413610827188
58,"(0, 0, 1)","(1, 0, 0, 7)",3828.440170149254,3828.440170149254,77.3048272792195,93.0508574421119,19.4144549927462,21.81172881995569
59,"(0, 0, 0)","(1, 0, 0, 7)",3825.577335240383,3825.5773352403826,78.43892124427019,94.16620802274488,19.714265752426968,22.20003278327506
60,"(1, 0, 0)","(1, 0, 0, 7)",3816.8113250502593,3816.8113250502593,79.32556844594639,95.03379705388568,19.9422761643867,22.498510366540405
61,"(0, 0, 2)","(1, 0, 0, 7)",3828.713154110696,3828.713154110696,81.65111946271205,97.3606802839421,20.510525919331776,23.27698721968218
62,"(2, 0, 0)","(0, 0, 0, 7)",3797.514820973777,3797.514820973777,85.19922976432584,101.12030245899787,21.205320687613884,24.395699641331333
63,"(2, 0, 0)","(0, 0, 1, 7)",3734.610260561209,3734.610260561209,91.63314409259239,107.78516683454315,22.862125127916645,26.634088166669933
64,"(2, 0, 0)","(1, 0, 0, 7)",3722.986064687951,3722.9860646879506,91.69784705173691,107.86454352034406,22.869750625666672,26.651787200593425
65,"(1, 0, 0)","(0, 0, 0, 7)",3905.830527151242,3905.830527151242,148.73862179468273,169.04912857638237,37.95612212291813,49.680697578330886
66,"(1, 0, 0)","(0, 0, 1, 7)",3828.26719669356,3828.2671966935595,155.50148986375203,176.33232502508454,39.73612591501094,52.78389980543685
67,"(0, 0, 2)","(0, 0, 1, 7)",4125.402168773642,4125.402168773642,334.3180173756657,349.343760549684,88.06944190405875,167.19864800942338
68,"(0, 0, 1)","(0, 0, 1, 7)",4284.593427027088,4284.593427027088,346.10963494938954,356.2170603448442,91.75182399381566,175.48267379338927
69,"(0, 0, 0)","(0, 0, 1, 7)",4455.589191307114,4455.589191307114,346.31088346941334,357.7167766339157,91.94144433746312,177.6205497209231
70,"(0, 0, 2)","(0, 0, 0, 7)",4329.462248828599,4329.462248828599,365.2217971244542,374.1242578681511,96.77510854447712,191.73732248076522
71,"(0, 0, 1)","(0, 0, 0, 7)",4548.563623790047,4548.563623790047,371.957923911085,377.5598469052372,98.95885480096105,196.82660781520448
72,"(0, 0, 0)","(0, 0, 0, 7)",4877.666426693237,4877.666426693237,375.3,379.9499528446696,100.0,200.0
